"fp","target","rank","repeat"
"rf_rdk7","712","1","8"
"rf_rdk7","712","1","9"
"rf_rdk7","712","1","10"
"rf_rdk7","712","1","11"
"rf_rdk7","712","1","12"
"rf_rdk7","712","1","13"
"rf_rdk7","712","1","14"
"rf_rdk7","712","1","15"
"rf_rdk7","712","1","16"
"rf_rdk7","712","1","17"
"rf_rdk7","712","1","18"
"rf_rdk7","712","1","19"
"rf_rdk7","712","1","20"
"rf_rdk7","712","1","21"
"rf_rdk7","712","1","22"
"rf_rdk7","712","1","23"
"rf_rdk7","712","1","24"
"rf_rdk7","712","1","25"
"rf_rdk7","712","1","26"
"rf_rdk7","712","1","27"
"rf_rdk7","712","1","28"
"rf_rdk7","712","1","29"
"rf_rdk7","712","1","30"
"rf_rdk7","712","1","31"
"rf_rdk7","712","1","32"
"rf_rdk7","712","1","33"
"rf_rdk7","712","1","34"
"rf_rdk7","712","1","35"
"rf_rdk7","712","1","36"
"rf_rdk7","712","1","37"
"rf_rdk7","712","1","38"
"rf_rdk7","712","1","39"
"rf_rdk7","712","1","40"
"rf_rdk7","712","1","41"
"rf_rdk7","712","1","42"
"rf_rdk7","712","1","43"
"rf_rdk7","712","1","44"
"rf_rdk7","712","1","45"
"rf_rdk7","712","1","46"
"rf_rdk7","712","1","47"
"rf_rdk7","712","1","48"
"rf_rdk7","712","1","49"
"rf_rdk7","712","1","50"
"rf_rdk7","713","1","1"
"rf_rdk7","713","1","2"
"rf_rdk7","713","1","3"
"rf_rdk7","713","1","4"
"rf_rdk7","713","1","5"
"rf_rdk7","713","1","6"
"rf_rdk7","713","1","7"
"rf_rdk7","713","1","8"
"rf_rdk7","713","1","9"
"rf_rdk7","713","1","10"
"rf_rdk7","713","1","11"
"rf_rdk7","713","1","12"
"rf_rdk7","713","1","13"
"rf_rdk7","713","1","14"
"rf_rdk7","713","1","15"
"rf_rdk7","713","1","16"
"rf_rdk7","713","1","17"
"rf_rdk7","713","1","18"
"rf_rdk7","713","1","19"
"rf_rdk7","713","1","20"
"rf_rdk7","713","1","21"
"rf_rdk7","713","1","22"
"rf_rdk7","713","1","23"
"rf_rdk7","713","1","24"
"rf_rdk7","713","1","25"
"rf_rdk7","713","1","26"
"rf_rdk7","713","1","27"
"rf_rdk7","713","1","28"
"rf_rdk7","713","1","29"
"rf_rdk7","713","1","30"
"rf_rdk7","713","1","31"
"rf_rdk7","713","1","32"
"rf_rdk7","713","1","33"
"rf_rdk7","713","1","34"
"rf_rdk7","713","1","35"
"rf_rdk7","713","1","36"
"rf_rdk7","713","1","37"
"rf_rdk7","713","1","38"
"rf_rdk7","713","1","39"
"rf_rdk7","713","1","40"
"rf_rdk7","713","1","41"
"rf_rdk7","713","1","42"
"rf_rdk7","713","1","43"
"rf_rdk7","713","1","44"
"rf_rdk7","713","1","45"
"rf_rdk7","713","1","46"
"rf_rdk7","713","1","47"
"rf_rdk7","713","1","48"
"rf_rdk7","713","1","49"
"rf_rdk7","713","1","50"
"rf_rdk7","733","1","1"
"rf_rdk7","733","1","2"
"rf_rdk7","733","1","3"
"rf_rdk7","733","1","4"
"rf_rdk7","733","1","5"
"rf_rdk7","733","1","6"
"rf_rdk7","733","1","7"
"rf_rdk7","733","1","8"
"rf_rdk7","733","1","9"
"rf_rdk7","733","1","10"
"rf_rdk7","733","1","11"
"rf_rdk7","733","1","12"
"rf_rdk7","733","1","13"
"rf_rdk7","733","1","14"
"rf_rdk7","733","1","15"
"rf_rdk7","733","1","16"
"rf_rdk7","733","1","17"
"rf_rdk7","733","1","18"
"rf_rdk7","733","1","19"
"rf_rdk7","733","1","20"
"rf_rdk7","733","1","21"
"rf_rdk7","733","1","22"
"rf_rdk7","733","1","23"
"rf_rdk7","733","1","24"
"rf_rdk7","733","1","25"
"rf_rdk7","733","1","26"
"rf_rdk7","733","1","27"
"rf_rdk7","733","1","28"
"rf_rdk7","733","1","29"
"rf_rdk7","733","1","30"
"rf_rdk7","733","1","31"
"rf_rdk7","733","1","32"
"rf_rdk7","733","1","33"
"rf_rdk7","733","1","34"
"rf_rdk7","733","1","35"
"rf_rdk7","733","1","36"
"rf_rdk7","733","1","37"
"rf_rdk7","733","1","38"
"rf_rdk7","733","1","39"
"rf_rdk7","733","1","40"
"rf_rdk7","733","1","41"
"rf_rdk7","733","1","42"
"rf_rdk7","733","1","43"
"rf_rdk7","733","1","44"
"rf_rdk7","733","1","45"
"rf_rdk7","733","1","46"
"rf_rdk7","733","1","47"
"rf_rdk7","733","1","48"
"rf_rdk7","733","1","49"
"rf_rdk7","733","1","50"
"rf_rdk7","737","1","1"
"rf_rdk7","737","1","2"
"rf_rdk7","737","1","3"
"rf_rdk7","737","1","4"
"rf_rdk7","737","1","5"
"rf_rdk7","737","1","6"
"rf_rdk7","737","1","7"
"rf_rdk7","737","1","8"
"rf_rdk7","737","1","9"
"rf_rdk7","737","1","10"
"rf_rdk7","737","1","11"
"rf_rdk7","737","1","12"
"rf_rdk7","737","1","13"
"rf_rdk7","737","1","14"
"rf_rdk7","737","1","15"
"rf_rdk7","737","1","16"
"rf_rdk7","737","1","17"
"rf_rdk7","737","1","18"
"rf_rdk7","737","1","19"
"rf_rdk7","737","1","20"
"rf_rdk7","737","1","21"
"rf_rdk7","737","1","22"
"rf_rdk7","737","1","23"
"rf_rdk7","737","1","24"
"rf_rdk7","737","1","25"
"rf_rdk7","737","1","26"
"rf_rdk7","737","1","27"
"rf_rdk7","737","1","28"
"rf_rdk7","737","1","29"
"rf_rdk7","737","1","30"
"rf_rdk7","737","1","31"
"rf_rdk7","737","1","32"
"rf_rdk7","737","1","33"
"rf_rdk7","737","1","34"
"rf_rdk7","737","1","35"
"rf_rdk7","737","1","36"
"rf_rdk7","737","1","37"
"rf_rdk7","737","1","38"
"rf_rdk7","737","1","39"
"rf_rdk7","737","1","40"
"rf_rdk7","737","1","41"
"rf_rdk7","737","1","42"
"rf_rdk7","737","1","43"
"rf_rdk7","737","1","44"
"rf_rdk7","737","1","45"
"rf_rdk7","737","1","46"
"rf_rdk7","737","1","47"
"rf_rdk7","737","1","48"
"rf_rdk7","737","1","49"
"rf_rdk7","737","1","50"
"rf_rdk7","810","1","1"
"rf_rdk7","810","1","2"
"rf_rdk7","810","1","3"
